Species	Length	LocusType
Dmel	5539	piLocus
Dmel	26438	iiLocus
Dmel	12301	piLocus
Dmel	1601	niLocus
Dmel	2301	niLocus
Dmel	635	iiLocus
Dmel	10332	piLocus
Dmel	7628	niLocus
Dmel	1100	iiLocus
Dmel	2983	piLocus
Dmel	1069	niLocus
Dmel	1118	iiLocus
Dmel	45945	piLocus
Dmel	15776	piLocus
Dmel	1370	iiLocus
Dmel	11904	piLocus
Dmel	1201	niLocus
Dmel	6640	iiLocus
Dmel	3833	piLocus
Dmel	2464	piLocus
Dmel	514	iiLocus
Dmel	19065	piLocus
Dmel	1657	niLocus
Dmel	3278	piLocus
Dmel	1035	iiLocus
Dmel	1426	niLocus
Dmel	1225	iiLocus
Dmel	10754	piLocus
Dmel	2169	niLocus
Dmel	10271	piLocus
Dmel	3278	iiLocus
Dmel	3942	piLocus
Dmel	843	iiLocus
Dmel	13740	piLocus
Dmel	3507	piLocus
Dmel	1537	niLocus
Dmel	16284	piLocus
Dmel	7316	piLocus
Dmel	667	iiLocus
Dmel	11578	piLocus
Dmel	1600	iiLocus
Dmel	9195	piLocus
Dmel	2652	niLocus
Dmel	28797	piLocus
Dmel	611	iiLocus
Dmel	3730	piLocus
Dmel	4158	piLocus
Dmel	17465	piLocus
Dmel	31735	piLocus
Dmel	16627	piLocus
Dmel	20966	piLocus
Dmel	1552	niLocus
Dmel	1559	niLocus
Dmel	29112	iiLocus
Dmel	1535	niLocus
Dmel	5439	niLocus
Dmel	4187	iiLocus
Dmel	7955	piLocus
Dmel	592	iiLocus
Dmel	9444	piLocus
Dmel	4820	iiLocus
Dmel	2646	niLocus
Dmel	7942	piLocus
Dmel	4980	niLocus
Dmel	20586	piLocus
Dmel	11815	iiLocus
Dmel	40065	piLocus
Dmel	20523	piLocus
Dmel	1830	niLocus
Dmel	10261	piLocus
Dmel	4278	piLocus
Dmel	9368	piLocus
Dmel	1985	iiLocus
Dmel	7241	piLocus
Dmel	7275	iiLocus
Dmel	1651	niLocus
Dmel	10095	piLocus
Dmel	2034	iiLocus
Dmel	12787	piLocus
Dmel	3813	piLocus
Dmel	1087	niLocus
Dmel	2478	iiLocus
Dmel	6660	piLocus
Dmel	11426	piLocus
Dmel	1484	iiLocus
Dmel	15063	piLocus
Dmel	7393	piLocus
Dmel	20637	piLocus
Dmel	6370	piLocus
Dmel	633	iiLocus
Dmel	24485	piLocus
Dmel	2226	iiLocus
Dmel	53075	piLocus
Dmel	1857	niLocus
Dmel	11647	piLocus
Dmel	8495	iiLocus
Dmel	2749	piLocus
Dmel	34958	piLocus
Dmel	1592	iiLocus
Dmel	8544	piLocus
Dmel	5644	iiLocus
Dmel	1451	niLocus
Dmel	932	iiLocus
Dmel	14469	piLocus
Dmel	4603	niLocus
Dmel	45508	piLocus
Dmel	6379	niLocus
Dmel	1965	iiLocus
Dmel	16419	piLocus
Dmel	5103	iiLocus
Dmel	13623	piLocus
Dmel	1100	iiLocus
Dmel	7851	piLocus
Dmel	1211	niLocus
Dmel	4018	niLocus
Dmel	17149	piLocus
Dmel	3094	niLocus
Dmel	10235	iiLocus
Dmel	19198	piLocus
Dmel	972	iiLocus
Dmel	18207	piLocus
Dmel	2497	niLocus
Dmel	1687	piLocus
Dmel	3047	piLocus
Dmel	4434	piLocus
Dmel	19416	piLocus
Dmel	2661	iiLocus
Dmel	8637	piLocus
Dmel	17305	piLocus
Dmel	8466	piLocus
Dmel	3001	iiLocus
Dmel	25520	piLocus
Dmel	11484	piLocus
Dmel	2297	piLocus
Dmel	12456	piLocus
Dmel	25329	piLocus
Dmel	22774	piLocus
Dmel	2229	iiLocus
Dmel	10160	piLocus
Dmel	3139	iiLocus
Dmel	8218	piLocus
Dmel	5430	piLocus
Dmel	1003	iiLocus
Dmel	26616	piLocus
Dmel	6625	piLocus
Dmel	41923	piLocus
Dmel	75872	fiLocus
Dmel	121992	fiLocus
Dmel	1214	niLocus
Dmel	663	iiLocus
Dmel	3345	piLocus
Dmel	13892	piLocus
Dmel	1118	niLocus
Dmel	2225	niLocus
Dmel	59456	piLocus
Dmel	6696	piLocus
Dmel	1589	niLocus
Dmel	42290	iiLocus
Dmel	2903	piLocus
Dmel	9673	piLocus
Dmel	1649	piLocus
Dmel	3796	piLocus
Dmel	6665	piLocus
Dmel	9917	niLocus
Dmel	2305	piLocus
Dmel	12337	piLocus
Dmel	71802	piLocus
Dmel	1098	niLocus
Dmel	12777	piLocus
Dmel	2252	piLocus
Dmel	2444	piLocus
Dmel	155151	piLocus
Dmel	1568	piLocus
Dmel	1251	piLocus
Dmel	5737	piLocus
Dmel	5674	niLocus
Dmel	1917	piLocus
Dmel	1656	niLocus
Dmel	1717	niLocus
Dmel	2393	niLocus
Dmel	2438	piLocus
Dmel	2097	piLocus
Dmel	2310	piLocus
Dmel	3430	piLocus
Dmel	3279	piLocus
Dmel	6561	piLocus
Dmel	2208	piLocus
Dmel	2101	piLocus
Dmel	695	iiLocus
Dmel	1907	piLocus
Dmel	5805	piLocus
Dmel	3848	piLocus
Dmel	1436	niLocus
